,item_id,item_name,developer,user_id,playtime_forever,recommend,sentiment_score,posted_year,Action,Casual,Indie,Simulation,Strategy,Free to Play,RPG,Sports,Adventure,Racing,Early Access,Massively Multiplayer,Animation &amp; Modeling,Video Production,Utilities,Web Publishing,Education,Software Training,Design &amp; Illustration,Audio Production,Photo Editing,Accounting
816990,393410,World of Soccer online,Johannes Eski,piepai,3,True,2,2015,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1215626,80,Counter-Strike: Condition Zero,Valve,warawich,15,True,2,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025152,444640,Bloons TD Battles,Ninja Kiwi,blackandwhitecat,49,True,2,2013,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637658,17470,Dead Space,EA Redwood Shores,ae0nplux,14,False,2,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331021,12200,Bully: Scholarship Edition,Rockstar New England,76561198058329541,48,True,2,2014,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32949,217140,Rise of the Triad,Interceptor Entertainment,76561198084906493,68,True,2,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1194636,340580,Armed with Wings: Rearmed,Sun-Studios,76561198051454344,34,True,2,2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286492,278360,A Story About My Uncle,Gone North Games,76561198052998609,89,True,2,2015,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
878609,341550,Super Cyborg,"Artur Games,Music by Darkman007",tomtoth,92,True,2,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170738,248570,Toribash,Nabi Studios,76561198141079508,1,True,2,2014,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182799,295790,Never Alone (Kisima Ingitchuna),"Upper One Games,E-Line Media",AlmightyShippo,36,False,2,2015,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
488834,258880,Professional Farmer 2014,PlayWay S.A.,76561198068831727,10,True,2,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183041,383120,Empyrion - Galactic Survival,Eleon Game Studios,twunka,12,True,2,2014,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
477131,312150,Wild Warfare,Hyper Hippo Games,76561198092473445,26,True,2,2015,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115578,11280,Penguins Arena: Sedna's World,Frogames,thestreetsshallrunwhite,75,False,2,2015,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523595,214550,Eets Munchies,Klei Entertainment,76561198088716282,9,True,2,2013,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8352,353360,how do you Do It?,"Nina Freeman,Emmett Butler,Decky Coss,Joni Kittaka",diego9031,1,True,2,2015,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676605,108200,Ticket to Ride,Days of Wonder,_steelphantom,17,True,2,2015,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917009,312280,Simply Chess,BlueLine Games,76561198088320031,6,True,2,2014,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454051,203990,SATAZIUS,ASTRO PORT,76561197970580235,4,True,2,2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928095,209870,Blacklight: Retribution,Hardsuit Labs,artista69,4,True,0,2015,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671192,225600,Blade Symphony,Puny Human,Ninjinius,8,True,0,2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579419,57200,Puzzle Dimension,Doctor Entertainment AB,eunmac,47,True,0,2014,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495066,238910,Bionic Dues,"Arcen Games, LLC",76561198062039159,12,True,2,2015,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476738,227180,Kingdom Wars,Reverie World Studios,junaid_m_sam,1,True,2,2014,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
542260,241240,Contraption Maker,Game Dev Castle,davidmwilliams,3,True,2,2015,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124575,208090,Loadout,Edge of Reality,brunolopez67,1,True,2,2015,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843227,400,Portal,Valve,iclickcircles,99,False,0,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075950,224260,No More Room in Hell,No More Room in Hell Team,BLORGATRON,37,True,2,2013,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707582,236110,Dungeon Defenders II,Trendy Entertainment,stinglock,94,True,2,2013,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128563,22000,World of Goo,2D BOY,Remo191,1,True,2,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508707,285900,Gang Beasts,Boneloaf,iamthekingofbrowntown,15,False,0,2015,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
633069,17470,Dead Space,EA Redwood Shores,toshji,43,True,2,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338835,93200,Revenge of the Titans,Puppygames,76561198064713620,53,True,0,2014,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418937,39650,The Guild II,4 Head Studios,thombelcar,1,True,0,2014,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564069,233720,Surgeon Simulator,Bossa Studios,sunnydazeex,64,True,2,2015,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155963,3360,Big Money! Deluxe,"PopCap Games, Inc.",ronzack,15,True,2,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068010,257710,Max Gentlemen,The Men Who Wear Many Hats,76561198044120483,1,True,2,2015,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917770,250600,The Plan,Krillbite Studio,12536475869trhgsdf,16,True,0,2014,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926965,371390,Flix The Flea,Psychotic Psoftware,virex4,1,True,2,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343178,273110,Counter-Strike Nexon: Zombies,Nexon,76561198011004336,4,False,2,2015,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1012150,393410,World of Soccer online,Johannes Eski,SlipsSteam,29,True,2,2014,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
263368,17450,Dragon Age: Origins,BioWare,76561198044666616,36,True,2,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471450,40100,Supreme Commander 2,Gas Powered Games,redpillgaming,53,True,2,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132287,355840,Survarium,Vostok Games,-SEVEN-,97,True,2,2014,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
429628,323370,TERA,"Bluehole, Inc.",p893629682,84,True,2,2013,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
641600,402570,Atlas Reactor,Trion Worlds,kaybeegee,100,True,0,2015,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145744,295690,PARTICLE MACE,Andy Wallace,76561198065389357,13,True,2,2013,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137454,205100,Dishonored,Arkane Studios,LucarioSakaki,3,False,0,2015,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1178641,214420,Gear Up,Doctor Entertainment AB,StudioClod,41,True,2,2015,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925548,221640,Super Hexagon,Terry Cavanagh,NocturnalPotato,63,True,2,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343102,209190,Stealth Bastard Deluxe,Curve Studios,76561198011004336,10,True,2,2015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775963,1200,Red Orchestra: Ostfront 41-45,Tripwire Interactive,bosslucek,76,False,0,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077144,10,Counter-Strike,Valve,76561198066974978,64,True,2,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810342,266210,One Way Heroics,Smoking WOLF,jettimon,1,True,2,2015,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93693,418070,Turbo Pug,"Space Cat Studios,SnowFlame,Back To Basics Gaming",Azzanation,2,True,2,2015,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269590,93200,Revenge of the Titans,Puppygames,bluemuppet,14,True,2,2015,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1131936,224600,Defiance,"Trion Worlds, Inc.",76561198018059901,55,False,0,2015,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
460726,250180,METAL SLUG 3,"SNK CORPORATION,DotEmu",something_random,48,True,2,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000595,344760,Reign Of Kings,Code}{atch,jeffyusohansam,31,True,2,2015,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1045792,322330,Don't Starve Together,Klei Entertainment,dahaydos,1,True,2,2014,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
996018,92800,SpaceChem,Zachtronics,76561198042754142,1,True,2,2015,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703459,211400,Deadlight,"Tequila Works, S.L.",usaidwotnow,22,True,2,2014,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
685117,71230,Crazy Taxi,SEGA,ChrisEWOI,18,True,0,2014,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
805049,238090,Sniper Elite 3,Rebellion,daelak,83,False,0,2014,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
968558,109600,Neverwinter,Cryptic Studios,themlgayylamo,1,False,2,2014,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1126299,234710,Poker Night 2,Telltale Games,76561198077684524,51,True,1,2014,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418684,320820,Toren,Swordtales,thombelcar,23,True,2,2014,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
427513,255220,GRID Autosport,"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)",xinyo,28,True,2,2014,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
505715,304930,Unturned,Smartly Dressed Games,BlurredPortrait,71,False,2,2015,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1018244,205550,Foreign Legion: Multi Massacre,Sakari Indie &amp; GriN,gamerkung1,8,True,2,2014,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188109,247020,"Cook, Serve, Delicious!",Vertigo Gaming Inc.,elektro_haus,46,True,2,2014,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92756,70,Half-Life,Valve,76561198094656207,70,False,0,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771690,343780,Cat Goes Fishing,Cat5Games,76561198044588689,49,True,0,2015,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112767,224260,No More Room in Hell,No More Room in Hell Team,76561198098359018,13,True,2,2014,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679371,49900,Plain Sight,Beatnik Games,SickCuntt,57,True,2,2012,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401287,263080,Pixel Boy and the Ever Expanding Dungeon,Giant Box Games,phrostb,35,False,0,2014,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296958,70620,Worms Crazy Golf,Team17 Digital Ltd,Scorpion1903,19,True,2,2015,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318088,98400,Hard Reset,,proletar666,23,True,2,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981047,355840,Survarium,Vostok Games,76561198106949471,53,True,2,2014,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1177041,338180,Batla,[geim].pro,76561198079327998,28,False,2,2014,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396772,322330,Don't Starve Together,Klei Entertainment,SirParadiseLost,91,True,2,2015,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
480302,283880,Heroine's Quest: The Herald of Ragnarok,Crystal Shard,spinefarm,1,True,2,2014,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1117513,214830,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,Opus,DatBoiOShitWhaddup,5,False,2,2015,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845046,427270,Orcs Must Die! Unchained,Robot Entertainment,leweeeeeeee,39,True,2,2015,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153870,313340,Mountain,David OReilly,76561198064372862,4,True,0,2013,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268190,420,Half-Life 2: Episode Two,Valve,76561198040257934,18,True,2,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6971,40970,Stronghold Crusader HD,FireFly Studios,Xuchiex,1,True,2,2014,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
941604,250180,METAL SLUG 3,"SNK CORPORATION,DotEmu",76561198092735015,35,False,0,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447225,206190,Gunpoint,Suspicious Developments,supernashwanpower,10,False,2,2010,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539976,237740,Angry Video Game Nerd Adventures,FreakZone Games,76561198060811426,82,True,2,2013,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1216689,301520,Robocraft,Freejam,76561198046360205,13,True,2,2015,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
213915,38600,Faerie Solitaire,Subsoap,cadeinminecraft,98,True,2,2014,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597491,277430,Halo: Spartan Assault,"Vanguard Games,343 Industries",76561198066371178,84,True,0,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251448,287450,Rise of Nations: Extended Edition,"SkyBox Labs,Big Huge Games",IrishNZ,72,True,2,2015,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
915391,312990,The Expendabros,Free Lives,76561198043699745,61,True,2,2014,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
501218,220200,Kerbal Space Program,Squad,76561198057919602,10,True,2,2014,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
685717,400040,ShareX,ShareX Team,tracknumberseven,1,True,2,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0
355638,286080,Thinking with Time Machine,Stridemann,Cydran,7,True,2,2014,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1155314,302830,BLOCKADE 3D,Shumkov Dmitriy,76561198108415635,7,True,2,2014,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
383930,319510,Five Nights at Freddy's,Scott Cawthon,TheJordanSixFifty,44,True,2,2014,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27210,315430,Polarity,Bluebutton Games,SakifX9,35,False,2,2014,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
892291,303390,Dead Bits,Microblast Games,SpecGames,15,True,2,2013,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178162,383980,Rivals of Aether,Dan Fornace,76561198001296435,48,True,2,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529621,204240,The Bridge,"Ty Taylor and Mario Castañeda,The Quantum Astrophysicists Guild",NKraz,92,True,2,2013,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101785,248570,Toribash,Nabi Studios,Corvus_bellator,42,True,2,2014,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595159,374040,Portal Knights,Keen Games,PulpCraft,94,True,2,2015,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
464355,24740,Burnout Paradise: The Ultimate Box,Criterion Games,Mofflang,69,True,2,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
193301,48000,LIMBO,Playdead,stackonme,100,True,2,2013,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
818451,38740,EDGE,Two Tribes,chipotleez,12,True,2,2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92485,20,Team Fortress Classic,Valve,MrGoldenGaytime,4,True,0,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182588,262410,World of Guns: Gun Disassembly,Noble Empire Corp.,76561198048024738,9,True,2,2014,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728432,302380,Floating Point,Suspicious Developments,gxsm,23,False,0,2014,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984788,99900,Spiral Knights,Grey Havens,76561198065820911,1,True,2,2015,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
415921,33900,Arma 2,Bohemia Interactive,76561198067214601,70,True,2,2014,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712916,387860,the static speaks my name,the whale husband,SpiicyOrange,6,True,2,2015,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196171,45400,Fortix,Nemesys Games,76561198047717614,13,True,2,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920896,208090,Loadout,Edge of Reality,SafetyPinLoL,90,True,2,2015,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335826,214490,Alien: Isolation,"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",TheMightyZingy,71,True,2,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185430,33910,Arma 2,Bohemia Interactive,TheGarageMan,5,True,2,2013,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191674,6830,Commandos 2: Men of Courage,Pyro Studios,76561197999260941,15,True,2,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25463,331120,Passing Pineview Forest,VIS - Visual Imagination Software,rage-of-the-dragon,2,True,0,2014,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1042533,25890,Hearts of Iron III,Paradox Development Studio,76561198062039624,10,True,2,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120573,372800,RPG MO,Marxnet,KawaiiKrillin,36,True,2,2014,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1161506,293540,Guns and Robots,Masthead Studios Ltd,76561198094176685,54,True,2,2015,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
940809,51100,Tactical Intervention,"FIX Korea, Co.LTD,FIX Games, Co. LTD",76561198076307555,21,True,2,2014,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116692,307290,Velvet Sundown,Tribe Studios,76561198082540979,19,True,2,2014,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
327949,247660,Deadly Premonition: The Director's Cut,Rising Star Games,ArmenianJunkie,3,True,2,2013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1121405,375950,Viridi,Ice Water Games,76561198069987074,5,True,2,2015,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322979,1200,Red Orchestra: Ostfront 41-45,Tripwire Interactive,yaegerthearcticwolf,48,True,2,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857537,261760,Lichdom: Battlemage,Xaviant,vinzolvar,60,True,2,2014,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
728848,41060,Serious Sam Classic: The Second Encounter,Croteam,76561198040188061,59,True,2,2012,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204342,92800,SpaceChem,Zachtronics,FakMuther1234,32,True,2,2015,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77726,332310,LEGO® Worlds,"TT Games,Traveller's Tales",wagzy,87,True,2,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1090933,304930,Unturned,Smartly Dressed Games,76561198047185525,3,True,2,2013,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
271621,301520,Robocraft,Freejam,76561198122724739,78,True,2,2014,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
